# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
1.503421e+03 1.008299e+00 1.008234e+00 1.012837e+00
1.513446e+03 1.015274e+00 1.013373e+00 1.012716e+00
1.523470e+03 9.971559e-01 9.982347e-01 1.012595e+00
1.533495e+03 1.011782e+00 1.012304e+00 1.012473e+00
1.543519e+03 1.009412e+00 1.009312e+00 1.012350e+00
1.553544e+03 9.904319e-01 9.908579e-01 1.012228e+00
1.563568e+03 9.995046e-01 9.999670e-01 1.012104e+00
1.573593e+03 9.855925e-01 9.856255e-01 1.011980e+00
1.583617e+03 1.009928e+00 1.010294e+00 1.011856e+00
1.593642e+03 9.989066e-01 9.989066e-01 1.011731e+00
1.603666e+03 9.946081e-01 9.963388e-01 1.011605e+00
1.613691e+03 9.923281e-01 9.931991e-01 1.011479e+00
1.623715e+03 1.006131e+00 1.006332e+00 1.011353e+00
1.633740e+03 9.844904e-01 9.849250e-01 1.011226e+00
1.643764e+03 9.946434e-01 9.956204e-01 1.011098e+00
1.653789e+03 9.931283e-01 9.939448e-01 1.010970e+00
1.663813e+03 9.928323e-01 9.957335e-01 1.010841e+00
1.673837e+03 1.007075e+00 1.009560e+00 1.010712e+00
1.683862e+03 9.898474e-01 9.904947e-01 1.010582e+00
1.693886e+03 9.887912e-01 9.870322e-01 1.010451e+00
1.703911e+03 1.008663e+00 1.012890e+00 1.010320e+00
1.713935e+03 1.000175e+00 1.001466e+00 1.010188e+00
1.723960e+03 9.962824e-01 9.996178e-01 1.010055e+00
1.733984e+03 1.000741e+00 1.000705e+00 1.009922e+00
1.744009e+03 9.981368e-01 1.002004e+00 1.009788e+00
1.754033e+03 9.889311e-01 9.906880e-01 1.009654e+00
1.764058e+03 1.001397e+00 1.002185e+00 1.009519e+00
1.774082e+03 9.971792e-01 9.985717e-01 1.009383e+00
1.784107e+03 9.955228e-01 9.970393e-01 1.009246e+00
1.794131e+03 9.918984e-01 9.923686e-01 1.009109e+00
1.804156e+03 9.885314e-01 9.917090e-01 1.008971e+00
1.814180e+03 1.001432e+00 1.004297e+00 1.008832e+00
1.824205e+03 1.012033e+00 1.014649e+00 1.008692e+00
1.834229e+03 9.879978e-01 9.908131e-01 1.008552e+00
1.844253e+03 9.899409e-01 9.946900e-01 1.008411e+00
1.854278e+03 9.839556e-01 9.855676e-01 1.008269e+00
1.864302e+03 9.999622e-01 1.003406e+00 1.008126e+00
1.874327e+03 9.860515e-01 9.884079e-01 1.007982e+00
1.884351e+03 9.894479e-01 9.929271e-01 1.007838e+00
1.894376e+03 9.996498e-01 1.000078e+00 1.007692e+00
1.904400e+03 1.010176e+00 1.013972e+00 1.007546e+00
1.914425e+03 1.004280e+00 1.005851e+00 1.007398e+00
1.924449e+03 1.002317e+00 1.006632e+00 1.007250e+00
1.934474e+03 9.966512e-01 1.002582e+00 1.007101e+00
1.944498e+03 9.876528e-01 9.899931e-01 1.006951e+00
1.954523e+03 9.778029e-01 9.826459e-01 1.006799e+00
1.964547e+03 9.967200e-01 1.000415e+00 1.006647e+00
1.974572e+03 9.973684e-01 1.002506e+00 1.006494e+00
1.984596e+03 9.991988e-01 1.001476e+00 1.006339e+00
1.994620e+03 9.958830e-01 1.000806e+00 1.006184e+00
